emp_no,dept_no,from_date,to_date
10171,d004,8/5/1996,1/1/9999
10172,d005,2/4/1998,10/1/1998
10172,d008,10/1/1998,1/1/9999
10173,d002,3/21/1992,1/1/9999
10174,d004,6/1/1987,1/1/9999
10175,d001,9/24/1988,5/24/1995
10176,d009,12/22/1994,1/1/9999
10177,d002,2/6/1993,3/17/1994
10178,d007,3/21/1994,1/1/9999
10179,d005,1/25/2000,1/1/9999
10180,d002,7/1/1994,1/1/9999
10181,d005,6/22/1988,1/1/9999
10182,d005,9/2/1990,1/5/1999
10182,d008,1/5/1999,1/1/9999
10183,d009,8/11/1996,1/1/9999
10184,d009,12/26/1997,1/1/9999
10185,d007,3/1/1986,1/1/9999
10186,d002,12/25/1996,8/16/1997
10187,d002,6/1/1991,1/1/9999
10188,d004,8/27/1987,1/1/9999
10189,d005,9/13/1992,6/29/1993
10190,d004,6/23/1986,1/1/9999
10191,d005,4/10/1986,1/1/9999
10192,d004,8/9/1999,1/1/9999
10192,d006,6/13/1988,8/9/1999
10193,d005,9/21/1996,1/1/9999
10194,d002,2/14/1997,1/1/9999
10195,d004,2/15/1985,4/14/2001
10196,d002,1/31/1999,1/1/9999
10197,d005,6/28/1994,1/1/9999
10198,d005,8/31/1985,1/1/9999
10199,d007,2/7/1998,1/1/9999
10200,d004,2/17/1994,10/3/2000
10200,d006,10/3/2000,1/1/9999
10201,d005,11/10/1992,1/1/9999
10202,d005,10/6/1991,1/1/9999
10203,d008,4/6/1989,1/1/9999
10204,d005,12/18/1998,3/8/1999
10205,d004,8/23/1993,1/1/9999
10206,d005,4/19/1988,1/1/9999
10207,d005,10/11/1992,1/1/9999
10208,d001,2/5/1995,5/15/1999
10209,d002,11/23/1991,8/7/1999
10209,d007,8/7/1999,1/1/9999
10210,d009,2/24/1996,1/1/9999
10211,d005,11/22/1991,1/1/9999
10212,d005,1/28/1996,1/1/9999
10213,d009,10/6/1994,1/1/9999
10214,d007,2/29/1988,1/1/9999
10215,d007,11/23/1991,1/1/9999
10216,d008,10/30/1987,1/1/9999
10217,d004,5/12/1986,8/5/1993
10218,d004,1/31/1997,1/1/9999
10219,d005,10/23/1994,1/1/9999
10219,d009,3/31/1993,10/23/1994
10220,d002,9/16/1997,1/1/9999
10221,d004,6/8/1988,10/4/2000
10222,d004,6/8/1986,1/1/9999
10223,d005,4/1/1998,1/1/9999
10224,d004,1/9/1988,1/1/9999
10225,d009,12/14/1995,1/1/9999
10226,d007,1/29/1996,1/1/9999
10227,d005,11/1/1994,1/1/9999
10228,d001,1/28/1993,1/1/9999
10228,d007,12/22/1992,1/28/1993
10229,d006,2/20/1996,6/30/2000
10230,d008,6/16/1996,1/1/9999
10231,d009,9/9/1998,1/1/9999
10232,d007,6/4/1992,1/1/9999
10233,d003,4/29/1994,1/1/9999
10234,d007,11/19/1990,8/6/1999
10235,d004,4/6/1995,1/1/9999
10236,d007,8/30/1996,1/1/9999
10237,d007,8/11/1989,2/21/2000
10238,d005,3/31/1995,5/25/1996
10238,d008,5/25/1996,1/1/9999
10239,d001,5/4/1996,1/1/9999
10240,d006,10/6/1998,1/1/9999
10241,d002,6/12/1988,1/1/9999
10242,d004,1/18/1988,1/1/9999
10243,d007,6/7/1986,1/1/9999
10244,d005,9/16/1999,1/1/9999
10245,d008,4/21/1994,2/20/1995
10246,d004,2/1/1991,1/1/9999
10247,d004,8/14/1992,1/1/9999
10248,d007,8/13/1991,1/1/9999
10249,d005,12/8/1991,4/13/1998
10249,d008,4/13/1998,1/1/9999
10250,d006,8/30/1992,1/1/9999
10251,d008,6/25/1992,1/1/9999
10252,d004,11/8/1990,1/1/9999
10253,d007,2/21/1985,3/20/1994
10254,d007,6/14/1990,1/1/9999
10255,d004,5/12/1993,11/14/1999
10256,d007,10/12/1985,1/1/9999
10257,d004,7/16/1997,1/1/9999
10258,d005,5/17/1985,1/1/9999
10259,d001,7/25/1987,8/15/1994
10259,d009,8/15/1994,1/6/1999
10260,d004,2/1/1993,1/1/9999
10261,d005,9/11/1996,2/23/1999
10262,d007,1/22/1996,1/1/9999
10263,d002,12/21/1996,1/1/9999
10264,d005,7/16/1997,1/1/9999
10265,d006,9/12/1997,1/1/9999
10266,d004,5/25/1990,1/1/9999
10267,d004,4/26/1997,1/1/9999
10268,d004,4/15/1988,8/17/1990
10268,d005,12/17/1986,4/15/1988
10269,d004,7/24/1988,1/1/9999
10270,d007,9/26/1991,1/1/9999
10271,d005,5/23/1986,1/1/9999
10272,d002,10/23/1997,1/1/9999
10273,d007,11/6/1985,1/1/9999
10274,d005,2/2/1997,1/1/9999
10275,d005,9/8/1987,1/1/9999
10276,d005,10/19/1986,2/4/2000
10277,d007,6/16/1985,1/1/9999
10278,d005,7/2/1993,2/14/1997
10279,d004,4/26/1995,7/11/1999
10279,d009,7/11/1999,1/1/9999
10280,d003,1/27/1995,1/1/9999
10281,d006,12/3/1994,1/1/9999
10282,d004,5/2/1996,1/1/9999
10283,d005,5/25/1988,1/1/9999
10284,d004,7/6/1999,1/1/9999
10285,d008,5/25/1995,1/1/9999
10286,d009,12/24/1994,1/24/1999
10287,d005,9/5/1997,1/1/9999
10287,d008,12/28/1992,9/5/1997
10288,d004,8/29/1994,1/1/9999
10289,d005,3/12/1993,1/31/2002
10290,d005,9/18/1991,1/1/9999
10291,d007,3/30/1987,1/1/9999
10292,d007,6/5/1989,1/1/9999
10293,d004,12/12/1992,1/1/9999
10294,d005,1/30/1999,5/4/1999
10295,d002,6/19/1995,1/1/9999
10296,d007,9/16/1989,1/1/9999
10297,d004,5/28/1986,1/1/9999
10298,d004,5/5/2002,1/1/9999
10298,d008,4/27/1999,5/5/2002
10299,d007,1/10/1990,1/1/9999
10300,d004,5/17/1991,1/1/9999
10301,d002,5/23/1988,1/1/9999
10302,d007,7/22/1986,11/9/1999
10303,d004,2/5/1990,11/15/2000
10304,d007,11/16/1992,5/8/2002
10305,d005,10/31/1988,6/2/1992
10306,d007,9/6/1993,1/1/9999
10307,d004,10/16/1999,1/21/2000
10307,d006,1/21/2000,1/1/9999
10308,d007,12/29/1992,1/1/9999
10309,d005,5/2/1997,1/1/9999
10310,d004,10/24/1990,7/26/2001
10311,d005,11/4/1998,1/1/9999
10312,d004,8/28/1986,1/1/9999
10313,d008,10/10/1994,1/1/9999
10314,d007,1/16/1986,1/1/9999
10315,d005,8/28/1987,1/1/9999
10316,d006,12/18/1990,1/2/1991
10317,d004,7/5/2000,1/1/9999
10317,d008,1/24/1999,7/5/2000
10318,d005,3/23/1987,1/1/9999
10319,d007,6/18/1994,1/1/9999
10320,d007,11/3/1988,12/23/2001
10321,d007,7/24/1995,8/14/1999
10322,d005,1/29/1990,1/1/9999
10323,d004,6/6/1991,1/1/9999
10324,d005,7/19/1999,1/1/9999
10325,d003,9/20/1990,1/1/9999
10326,d008,9/2/1998,1/1/9999
10327,d005,9/18/1987,5/10/1988
10327,d008,5/10/1988,5/22/1993
10328,d005,7/17/1998,1/1/9999
10329,d004,1/20/1986,1/1/9999
10330,d007,10/8/1993,1/1/9999
10331,d007,10/29/1986,1/1/9999
10332,d004,10/20/1988,3/7/1997
10333,d005,1/16/1993,1/1/9999
10334,d009,2/15/1998,1/1/9999
10335,d007,4/6/1992,11/7/1999
10335,d009,11/7/1999,1/1/9999
10336,d008,9/27/1996,1/1/9999
10337,d004,4/25/1998,1/1/9999
10338,d009,12/29/1999,1/1/9999
10339,d004,11/30/1989,1/1/9999
10340,d001,3/30/1988,1/1/9999
10341,d004,4/29/1987,11/11/1998
10342,d005,7/25/1987,1/1/9999
10343,d006,10/3/1997,1/1/9999
10344,d004,4/19/1999,11/11/2001
10344,d006,11/11/2001,1/1/9999
10345,d005,11/8/1993,1/1/9999
10346,d007,1/17/1992,4/20/1996
10347,d008,2/20/1998,1/1/9999
10348,d004,10/22/1995,1/1/9999
10349,d009,9/28/1991,1/1/9999
10350,d004,5/11/1991,1/16/1998
10351,d002,5/1/1995,1/1/9999
10352,d005,12/16/1998,1/1/9999
10353,d001,8/24/1989,1/1/9999
10354,d002,3/3/1999,3/3/2000
10354,d003,3/3/2000,1/1/2002
10355,d007,1/26/1996,1/1/9999
10356,d008,6/26/1995,1/1/9999
10357,d006,4/4/1994,1/1/9999
10358,d005,2/19/1991,1/1/9999
10359,d005,7/20/1998,1/1/9999
10360,d003,9/4/1996,1/1/9999
10361,d007,10/23/1986,1/1/9999
10362,d003,11/2/1990,7/16/1997
10363,d004,9/11/1985,5/18/1987
10363,d006,5/18/1987,2/12/1993
10364,d004,11/14/1985,1/1/9999
10365,d008,10/22/1987,4/4/1992
10366,d005,8/15/1997,1/1/9999
10367,d001,6/24/1991,1/1/9999
10368,d004,5/16/1996,1/1/9999
10369,d007,9/5/1994,1/1/9999
10370,d007,4/18/1992,1/1/9999
10371,d004,11/28/1989,1/1/9999
10372,d004,7/30/1985,1/1/9999
10373,d005,4/26/1997,1/1/9999
10374,d007,12/8/1993,4/25/1995
10374,d009,4/25/1995,3/29/1996
10375,d007,5/29/1994,1/1/9999
10376,d004,12/8/1990,1/1/9999
10377,d004,8/24/1996,1/1/9999
10378,d007,8/31/1992,1/1/9999
10379,d005,7/15/1996,1/1/9999
10380,d007,3/19/1985,1/1/9999
10381,d004,12/4/1991,1/1/9999
10382,d004,7/1/1998,5/7/1999
10382,d009,5/7/1999,10/27/2000
10383,d004,6/19/1991,1/1/9999
10384,d001,1/16/1986,1/1/9999
10385,d004,12/20/1992,1/23/1998
10386,d005,8/2/1985,1/1/9999
10387,d009,1/7/1994,1/1/9999
10388,d007,5/28/1999,1/1/9999
10389,d005,5/13/1999,1/1/9999
10390,d006,5/17/1989,1/1/9999
10391,d005,1/28/1993,1/1/9999
10392,d004,3/1/1992,8/9/1997
10392,d006,8/9/1997,1/1/9999
10393,d004,6/23/1989,1/1/9999
10394,d005,3/14/1991,8/25/1991
10395,d005,8/10/1998,8/13/2001
10396,d005,1/11/1986,1/1/9999
10397,d004,5/21/1993,1/1/9999
10398,d007,10/12/1990,1/1/9999
10399,d007,1/26/2000,1/1/9999
10400,d007,10/17/1993,1/1/9999
10401,d006,10/25/1999,4/25/2001
10402,d006,1/2/1987,1/1/9999
10403,d002,9/13/1991,3/7/1995
10403,d007,3/7/1995,6/15/2001
10404,d005,8/28/1988,1/1/9999
10405,d006,9/26/1998,12/5/2000
10406,d006,1/26/1996,1/1/9999
10407,d007,10/30/1999,1/1/9999
10408,d007,10/7/1998,1/1/9999
10409,d005,9/26/1997,1/1/9999
10410,d007,10/16/1993,7/21/1996
10411,d007,9/2/1989,1/1/9999
10412,d004,11/21/1991,5/19/2000
10412,d009,5/19/2000,1/1/9999
10413,d003,12/27/1991,1/1/9999
10414,d005,5/30/1990,12/2/1994
10415,d005,10/25/1993,1/1/9999
10416,d002,3/24/1989,1/1/9999
10417,d007,6/27/1999,1/1/9999
10418,d001,10/4/1996,1/1/9999
10419,d008,4/25/1992,7/6/2002
10420,d008,1/17/1988,7/9/2000
10421,d009,4/7/1990,1/1/9999
10422,d004,1/3/1995,9/30/1997
10422,d006,9/30/1997,1/1/9999
10423,d008,5/27/1999,1/1/9999
10424,d005,8/7/1989,1/1/9999
10425,d004,5/7/1995,5/6/2002
10426,d005,7/6/1985,1/1/9999
10427,d007,10/3/1994,1/1/9999
10428,d003,6/4/1992,1/1/9999
10429,d005,9/23/1988,1/1/9999
10430,d004,7/5/1998,7/17/1999
10430,d009,7/17/1999,1/1/9999
10431,d007,10/8/1987,1/1/9999
10432,d009,8/13/1990,1/1/9999
10433,d006,11/26/1992,1/1/9999
10434,d004,6/27/1995,6/22/2002
10435,d005,6/8/1996,1/1/9999
10436,d003,1/30/1988,1/1/9999
10437,d006,4/12/1996,1/1/9999
10438,d004,1/19/1990,1/1/9999
10439,d005,5/1/1993,1/1/9999
10440,d005,4/4/1997,1/30/2000
10440,d008,1/30/2000,1/1/9999
10441,d004,7/12/1988,1/1/9999
10442,d007,2/12/1992,3/13/2001
10443,d005,8/1/1989,7/6/2002
10444,d007,10/23/1994,1/1/9999
10445,d005,11/4/1987,1/1/9999
10446,d005,12/25/1996,1/1/9999
10447,d006,12/29/1988,11/15/2000
10448,d007,3/12/1992,1/1/9999
10449,d001,3/12/1996,1/1/9999
10449,d007,3/28/1987,3/12/1996
10450,d005,8/24/1997,1/1/9999
10451,d004,3/12/1988,1/1/9999
10452,d005,11/12/1995,10/11/2001
10453,d009,4/2/1985,1/1/9999
10454,d007,4/16/1989,1/1/9999
10455,d007,2/19/1995,1/1/9999
10456,d002,1/6/2000,1/1/9999
10457,d006,10/23/1999,1/1/9999
10458,d007,7/5/1994,1/1/9999
10459,d002,6/14/1998,1/1/9999
10459,d003,6/28/1997,6/14/1998
10460,d005,6/30/1999,4/15/2001
10461,d007,8/3/1987,1/1/9999
10462,d004,3/25/1996,1/1/9999
10463,d007,2/17/1994,1/1/9999
10464,d003,5/21/1991,1/1/9999
10465,d009,12/11/1994,1/1/9999
10466,d009,8/22/1997,8/15/2000
10467,d003,5/22/1992,11/1/1999
10468,d007,5/28/1991,1/1/9999
10469,d005,6/5/1985,12/26/1992
10469,d008,12/26/1992,1/1/9999
10470,d004,9/19/1989,1/1/9999
10471,d006,11/18/1990,1/1/9999
10472,d007,12/1/1999,1/2/2002
10473,d004,9/23/1997,1/1/9999
10474,d004,2/21/1987,1/1/9999
10475,d004,5/13/1992,12/30/1994
10476,d008,9/20/1987,1/1/9999
10477,d005,5/26/1997,1/1/9999
10478,d005,2/10/1993,1/1/9999
10478,d009,6/9/1992,2/10/1993
10479,d004,7/24/1993,1/1/9999
10480,d002,5/18/1988,6/3/1989
10481,d004,10/3/1989,1/1/9999
10482,d005,2/26/1996,1/1/9999
10483,d006,11/10/1993,1/1/9999
10484,d003,12/20/1996,1/1/9999
10485,d005,1/21/1996,1/1/9999
10486,d006,10/8/1987,1/1/9999
10487,d004,8/14/1992,1/1/9999
10488,d005,7/9/1994,11/18/1996
10488,d008,11/18/1996,1/1/9999
10489,d005,9/10/1989,10/6/1989
10490,d007,11/22/1992,1/1/9999
10491,d001,1/17/1990,1/1/9999
10492,d005,4/29/1988,1/1/9999
10493,d007,10/29/1998,1/1/9999
10494,d004,12/18/1991,1/1/9999
10495,d004,9/24/1989,1/1/9999
10496,d002,8/29/1995,1/26/1999
10497,d004,1/22/1992,1/1/9999
10498,d004,3/9/1994,1/1/9999
10499,d001,7/31/1996,3/16/1998
10499,d007,3/16/1998,1/1/9999
10500,d005,12/16/1996,1/1/9999
10501,d005,9/8/1988,1/1/9999
10502,d006,3/4/1993,1/1/9999
10503,d004,3/13/1997,1/1/9999
10504,d007,10/19/1999,1/1/9999
10505,d007,7/23/1985,3/26/1998
10506,d005,12/1/1996,1/1/9999
10507,d003,9/30/1990,1/1/9999
10508,d004,5/1/1991,1/1/9999
10509,d007,10/6/1992,1/1/9999
10510,d007,4/20/1990,9/21/1992
10510,d009,9/21/1992,1/1/9999
10511,d004,1/27/1992,1/1/9999
10512,d003,11/28/1989,1/1/9999
10513,d002,4/2/1991,1/1/9999
10514,d008,4/29/1992,4/2/1995
10515,d007,1/6/1990,7/21/1998
10516,d005,10/19/1985,1/1/9999
10517,d007,12/25/1990,1/1/9999
10518,d005,9/3/1993,1/1/9999
10519,d005,2/9/1994,10/13/2001
10519,d008,12/5/1992,2/9/1994
10520,d004,9/5/1996,1/1/9999
10521,d007,5/11/1989,1/1/9999
10522,d003,12/12/1986,1/1/9999
10523,d004,12/23/1989,1/1/9999
10524,d004,10/9/1985,1/1/9999
10525,d007,7/8/1990,12/20/1995
10526,d004,2/27/1988,1/1/9999
10527,d005,1/25/1996,1/1/9999
10528,d005,10/28/1993,1/1/9999
10529,d004,6/12/1999,1/1/9999
10529,d005,7/4/1997,6/12/1999
10530,d005,9/23/1987,1/1/9999
10531,d003,3/16/1995,1/1/9999
10532,d007,5/18/1986,1/1/9999
10533,d007,8/17/1990,1/1/9999
10534,d008,1/26/1998,3/3/2001
10535,d009,8/22/1991,1/1/9999
10536,d007,10/7/1988,1/1/9999
10537,d007,9/25/1996,1/1/9999
10538,d004,9/22/1991,12/13/1998
10538,d005,7/23/1987,9/22/1991
10539,d007,6/5/1990,1/1/9999
10540,d004,5/3/1994,1/1/9999
10541,d007,2/28/1986,10/1/1986
10542,d005,2/7/1992,1/1/9999
10543,d002,11/24/1998,1/1/9999
10544,d008,4/29/1995,1/1/9999
10545,d004,6/30/1990,1/1/9999
10546,d008,4/14/1991,1/1/9999
10547,d005,2/14/1988,6/19/1989
10548,d001,10/4/1991,1/1/9999
10548,d007,7/4/1986,10/4/1991
10549,d005,10/11/1996,1/1/9999
10550,d006,2/3/1985,1/1/9999
10551,d006,8/6/1988,1/1/9999
10552,d004,8/31/1998,1/1/9999
10553,d005,7/22/1990,1/1/9999
10554,d005,11/28/1990,1/1/9999
10555,d007,5/22/1992,1/19/1993
10556,d002,4/15/1992,1/1/9999
10557,d005,9/18/1992,8/25/1994
10557,d008,8/25/1994,1/1/9999
10558,d004,4/22/1992,1/1/9999
10559,d007,4/5/1999,1/1/9999
10560,d005,9/3/1996,1/1/9999
10561,d007,6/30/1997,1/1/9999
10562,d005,7/24/1997,1/1/9999
10563,d005,9/29/1992,1/1/2002
10564,d004,11/23/1995,1/1/9999
10565,d004,8/5/1996,1/1/9999
10566,d005,8/23/1990,10/26/1997
10567,d001,2/17/1997,1/1/9999
10567,d007,10/18/1992,2/17/1997
10568,d007,7/8/1995,1/1/9999
10569,d008,3/13/1987,1/1/9999
10570,d007,6/16/1986,3/25/2000
10571,d005,2/24/1985,1/1/9999
10572,d004,2/16/1988,1/1/9999
10573,d007,8/20/1999,1/1/9999
10574,d003,11/15/1999,1/1/9999
10575,d004,10/4/1988,11/22/2000
10576,d002,1/3/1991,1/1/9999
10577,d004,8/1/2001,1/1/9999
10577,d008,7/2/1993,8/1/2001
10578,d005,11/24/1989,1/1/9999
10579,d005,6/2/1991,1/1/9999
10580,d009,3/2/1991,1/1/9999
10581,d004,4/13/1994,1/1/9999
10582,d005,11/6/1995,1/1/9999
10583,d004,2/14/1985,5/29/1998
10584,d005,2/17/1986,1/1/9999
10585,d005,1/9/1991,8/24/1994
10585,d008,8/24/1994,1/1/9999
10586,d004,2/4/1992,1/1/9999
10587,d005,11/20/1991,1/1/9999
10588,d004,7/25/1988,1/1/9999
10589,d002,1/26/1994,1/1/9999
10590,d008,4/9/1986,1/1/9999
10591,d001,6/18/1987,9/20/1988
10592,d007,9/27/1993,1/1/9999
10593,d004,3/29/2000,1/1/9999
10593,d005,9/12/1990,3/29/2000
10594,d005,4/2/1988,1/1/9999
10595,d004,11/24/1989,1/1/9999
10596,d007,5/23/1996,1/1/9999
10597,d007,4/1/1990,1/1/9999
10598,d004,6/22/1998,9/27/2000
10599,d005,11/17/1991,1/1/9999
10600,d007,4/27/1992,1/1/9999
10601,d009,7/24/1999,5/9/2002
10602,d001,4/23/1989,11/6/1993
10603,d007,7/20/1995,1/1/9999
10604,d004,7/29/2002,1/1/9999
10604,d005,4/7/1990,7/29/2002
10605,d006,7/1/1993,1/1/9999
10606,d005,5/2/1987,1/1/9999
10607,d005,1/13/1996,1/1/9999
10608,d004,5/25/1986,6/2/1991
10609,d005,12/3/1994,1/1/9999
10610,d005,3/30/1997,1/1/9999
10611,d005,9/16/1989,1/1/9999
10612,d004,9/2/1991,1/1/9999
10613,d003,10/13/1997,1/1/9999
10614,d004,3/3/1990,2/27/1997
10614,d009,2/27/1997,1/1/9999
10615,d002,3/10/1996,1/1/9999
10616,d007,11/7/1996,1/1/9999
10617,d009,10/30/1991,10/3/2001
10618,d004,10/7/1994,1/1/9999
10619,d007,4/9/1993,1/1/9999
10620,d005,11/10/1990,1/1/9999
10621,d005,2/10/1992,1/1/9999
10622,d004,5/15/1989,1/1/9999
10623,d005,1/15/1992,2/11/1996
10623,d008,2/11/1996,1/1/9999
10624,d004,5/7/1990,1/1/9999
10625,d005,7/15/1986,1/13/1995
10626,d003,12/3/1996,1/1/9999
10627,d003,3/13/1995,1/1/9999
10628,d005,3/14/1987,1/1/9999
10629,d007,10/20/1999,12/7/2001
10630,d004,1/13/1997,1/1/9999
10631,d005,10/18/1994,1/1/9999
10632,d005,7/25/1985,11/20/1987
10633,d007,5/16/1997,1/1/9999
